Date,Wl,Evaporation,Volume,V2,SurfaceArea,EvapVol,Initial_Conc,C2 (wt%)
2023-04-14,3.04587024,85.22054158,728.5272846576,706.0299138858958,263.99,22.4973707717042,1069.8688056886754,1103.9597623539314
2023-04-15,2.993425313,90.43672922,714.68234837887,690.8079562320821,263.99,23.8743921467878,1103.9597623539314,1142.1127222944476
2023-04-16,3.044956781,94.72982517,728.28614061619,703.2784140695617,263.99,25.007726546628298,1142.1127222944476,1182.7248640482248
2023-04-17,3.156178927,99.65177931,757.64767493873,731.3406017186832,263.99,26.3070732200469,1182.7248640482248,1225.2686931814185
2023-04-18,3.292039302,105.4685376,793.51345533498,765.670816093956,263.99,27.842639241024,1225.2686931814185,1269.824020980911
2023-04-19,3.464153198,111.7469165,838.94980274002,809.449734253185,263.99,29.500068486835,1269.824020980911,1316.1022443220136
2023-04-20,3.546724948,117.987298,860.74791902252,829.6004522235,263.99,31.14746679902,1316.1022443220136,1365.5154899986103
2023-04-21,3.575545698,122.9786383,868.35630881502,835.8911780902031,263.99,32.465130724817,1365.5154899986103,1418.5506697583176
2023-04-22,3.650430219,128.2975896,888.12507351381,854.255792835306,263.99,33.869280678504,1418.5506697583176,1474.7929465958678
2023-04-23,3.654445833,133.0612872,889.1851554536701,854.0583062457421,263.99,35.126849207928004,1474.7929465958678,1535.4501980611826
2023-04-24,3.40704101,138.8419964,823.8727562299,787.219857600264,263.99,36.652898629636,1535.4501980611826,1606.9406462721172
2023-04-25,3.34893199,144.5419139,808.5325560401001,770.3749361896391,263.99,38.157619850461,1606.9406462721172,1686.534396564652
2023-04-26,3.402966292,150.2684937,822.7970714250799,783.127691773217,263.99,39.669379651863,1686.534396564652,1771.9658964031526
2023-04-27,3.316490208,155.3539068,799.96825000992,758.9563721537879,263.99,41.011877856132,1771.9658964031526,1867.7179733009168
2023-04-28,3.143042198,160.0116487,754.17970985002,711.938234709707,263.99,42.241475140313,1867.7179733009168,1978.535398875027
2023-04-29,2.974725344,164.6748139,709.7457435625599,666.2732394410989,263.99,43.472504121461,1978.535398875027,2107.629414948976
2023-04-30,2.959284469,169.4078695,705.6695069713099,660.947523502005,263.99,44.721983469305,2107.629414948976,2250.2388725884416
2023-05-01,1.8056905,4.937741497,401.132235095,399.828720717207,263.99,1.30351437779303,2250.2388725884416,2257.575060740774
2023-05-02,1.933462927,9.472477975,434.86287809873005,432.3622386381098,263.99,2.5006394606202504,2257.575060740774,2270.6321244195606
2023-05-03,2.033129323,14.00412233,461.1738099787699,457.4768617248732,263.99,3.6969482538967,2270.6321244195606,2288.98148844196
2023-05-04,2.09639326,19.01186434,477.8748567074,472.8559146402834,263.99,5.0189420671166,2288.98148844196,2313.2769770411287
2023-05-05,2.250954729,23.92092361,518.6775389087101,512.3626542849062,263.99,6.314884623803899,2313.2769770411287,2341.7881830994716
2023-05-06,2.465772177,28.65021974,575.3871970062299,567.8238254970673,263.99,7.563371509162601,2341.7881830994716,2372.9806291174655
2023-05-07,2.712222958,34.20807327,640.44773868242,631.4171494198727,263.99,9.0305892625473,2372.9806291174655,2406.91922804407
2023-05-08,2.840091781,39.52449695,674.20382926619,663.7697573163596,263.99,10.4340719498305,2406.91922804407,2444.7545890650044
2023-05-09,2.868096427,45.02533709,681.59677576373,669.7105370253408,263.99,11.8862387383891,2444.7545890650044,2488.1448824766485
2023-05-10,2.951035531,50.87168196,703.49186982869,690.0622545080696,263.99,13.4296153206204,2488.1448824766485,2536.5678014456803
2023-05-11,3.0841095,56.7951355,738.622066905,723.628719084355,263.99,14.993347820645,2536.5678014456803,2589.1246476773326
