Date,Brine_Differenced,SurfaceArea,Waterlevel,Added_const_wl,Volume_V1,Evaporation,Evaporation_Loss,e_(m3),Volume_V2,Initial_Conc_(gpl),C2 (mg/l),Quantity_in_tonnes
2024-03-19,769183,77363631.45,0.009942436589175908,0.809942436589176,62660088.160000004,139.56444575000003,0.6703779908391759,51862875.81547348,10797212.344526522,4.690325050630528e+20,2.7219635197834324e+21,3779024.3205842827
2024-03-20,872664,77363631.45,0.011280028918549427,0.8112800289185494,62763569.160000004,147.15724208400005,0.6641227868345494,51378950.51821499,11384618.64178501,2.7219635197834324e+21,1.5006224714272749e+22,3984616.5246247537
2024-03-21,852100,77363631.45,0.011014219265944243,0.8110142192659443,62743005.160000004,155.55987901000003,0.6554543402559443,50708328.011863776,12034677.148136228,1.5006224714272749e+22,7.823522169230333e+22,4212137.00184768
2024-03-22,800506,77363631.45,0.010347316755901845,0.8103473167559019,62691411.160000004,163.47093338400003,0.6468763833719018,50044706.11689272,12646705.043107286,7.823522169230333e+22,3.8782247499154644e+23,4426346.76508755
2024-03-23,773441,77363631.45,0.009997475370579958,0.80999747537058,62664346.160000004,171.21753307200004,0.6387799422985799,49418336.0336396,13246010.126360402,3.8782247499154644e+23,1.8347141206795854e+24,4636103.54422614
2024-03-24,769766,77363631.45,0.00994997242984255,0.8099499724298426,62660671.160000004,178.86450433700003,0.6310854680928426,48823063.56698541,13837607.59301459,1.8347141206795854e+24,8.308113770081733e+24,4843162.657555106
2024-03-25,783487,77363631.45,0.01012732966789914,0.8101273296678991,62674392.160000004,186.40165651800004,0.6237256731498991,48253683.10347196,14420709.056528047,8.308113770081733e+24,3.6108209277010722e+25,5047248.169784816
2024-03-26,793463,77363631.45,0.010256279147299515,0.8102562791472996,62684368.16000001,194.55946312500004,0.6156968160222995,47632541.55968764,15051826.600312375,3.6108209277010722e+25,1.5037512349972825e+26,5268139.31010933
2024-03-27,793132,77363631.45,0.010252000651140581,0.8102520006511407,62684037.16000001,202.52654475100005,0.6077254559001406,47015848.193041705,15668188.966958307,1.5037512349972825e+26,6.0160876597000004e+26,5483866.138435407
2024-03-28,804270,77363631.45,0.010395970107993166,0.8103959701079932,62695175.16000001,211.19657018300003,0.5991993999249932,46356241.54085833,16338933.619141683,6.0160876597000004e+26,2.3084717668534115e+27,5718626.766699588
2024-03-29,805258,77363631.45,0.010408740966618623,0.8104087409666186,62696163.160000004,219.74814487500004,0.5906605960916186,45695648.668069296,17000514.49193071,2.3084717668534115e+27,8.51340838029297e+27,5950180.072175747
2024-03-30,799328,77363631.45,0.010332089962925338,0.8103320899629254,62690233.160000004,228.33125586600005,0.5820008340969254,45025698.03266713,17664535.127332874,8.51340838029297e+27,3.021350703540691e+28,6182587.294566505
2024-03-31,785626,77363631.45,0.010154978318303852,0.8101549783183039,62676531.160000004,236.35148791300006,0.5738034904053038,44391521.75643954,18285009.403560467,3.021350703540691e+28,1.0356449774583232e+29,6399753.291246163
