Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Psychrometric constant,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation,wind_speed
22-03-2018,3.457740617,1.873035304,234.4702456,203.6951467,66.87552837,8.313368159,5.246655235,7.555384881,3.147931258
23-03-2018,3.451786209,1.725223177,235.3997367,203.3901705,66.87364494,8.346089107,6.693600325,7.937199934,3.686112335
24-03-2018,3.480922196,1.314526976,236.1289937,204.8817592,66.88283498,8.373095379,7.320367053,8.114012862,3.212820009
25-03-2018,3.514095382,1.176886384,237.0240365,206.5778541,66.89321993,8.406138459,7.610083067,8.21141692,3.095872558
26-03-2018,3.617389641,1.303701799,238.1071165,211.84455,66.92503647,8.44856671,7.626009994,8.251093094,3.133890606
27-03-2018,3.579044,1.72627267,239.3720067,209.8919607,66.91331561,8.491960333,10.17398144,8.898562444,5.221079982
28-03-2018,3.61664564,2.043116542,240.5286777,211.8066933,66.92481005,8.534460182,6.452658851,8.034609405,3.899017218
29-03-2018,3.742685816,1.597415595,241.1981856,218.2041843,66.96261993,8.563050717,7.79311621,8.382255368,3.453984426
30-03-2018,3.631532136,1.68973337,242.1944352,212.563945,66.92933294,8.594145496,11.18644222,9.214914237,5.47745716
31-03-2018,3.498869313,1.957985218,243.2841137,205.7996543,66.88846366,10.42864089,9.069337864,9.069337864,6.435006169
01-04-2018,3.58761277,2.247821829,244.2596785,210.3285485,66.9159439,8.665695724,7.537144865,8.393307821,5.348857805
02-04-2018,3.660755984,2.188910579,245.1184378,214.049219,66.93816669,8.699050222,8.467424732,8.643871284,5.469912454
03-04-2018,3.62363442,2.364177015,246.1029407,212.1622567,66.92693536,8.732523985,6.790674745,8.266859164,5.126496585
04-04-2018,3.631906632,2.278353229,246.9181555,212.5829892,66.92944652,8.76177916,7.233730659,8.395886887,5.081338957
05-04-2018,3.683203445,2.44766072,247.8684256,215.1889317,66.9449119,8.797531418,6.671513495,8.293068427,5.134023214
06-04-2018,3.706278503,2.317381432,248.6292814,216.3594679,66.95180975,8.825445528,7.832498395,8.590793353,5.361934189
07-04-2018,3.85246646,2.546354641,249.5831023,223.7511089,66.99468961,8.864976691,5.652271053,8.124693536,4.114658984
08-04-2018,3.800476696,2.601709049,250.4210856,221.1270866,66.9795992,8.892737638,4.823588761,7.946734042,3.825837221
09-04-2018,3.765408905,2.611354412,251.2184324,219.3542257,66.96932222,8.919683549,5.118735417,8.030665087,4.217232963
10-04-2018,3.864270459,2.605688751,251.9921577,224.3461648,66.99809195,8.950998813,4.006884929,7.814040768,3.027029699
11-04-2018,4.018455813,2.496025221,252.692172,232.0950596,67.04175032,8.981712909,6.767466345,8.485461828,4.226489841
12-04-2018,4.018758392,2.324102435,253.3391273,232.1102234,67.04183461,9.004719666,7.519992426,8.671983068,4.219170612
13-04-2018,3.954464795,2.117320407,253.9456004,228.8843811,67.02380478,9.023848781,8.054577611,8.804306894,4.168604633
14-04-2018,3.993062072,2.131923502,254.6704119,230.8218496,67.03465787,9.051070028,9.316776923,9.110869194,4.75968503
15-04-2018,3.90573121,2.445203535,255.5569885,226.434184,67.00997363,9.079234801,7.647961264,8.752393732,4.978827915
16-04-2018,4.019975714,2.190525368,256.0917567,232.1712284,67.04217364,9.102605523,9.31522594,9.150245551,4.841322276
17-04-2018,3.987972893,2.091747123,256.7008338,230.5665437,67.03323191,9.12303782,10.31554461,9.391645498,5.172414781
18-04-2018,4.023709216,1.974271259,257.2811847,232.3583128,67.04321289,9.145024683,12.00402603,9.785223946,5.569079019
19-04-2018,3.981584694,2.383613959,258.1695927,230.2460038,67.03143981,9.17499159,9.934197887,9.346180801,5.910921778
20-04-2018,3.964583421,2.286017136,258.7359732,229.3925698,67.02665859,9.19446411,10.02862404,9.383085319,5.68059833
21-04-2018,3.862316356,1.858175148,259.0771616,224.247674,66.99752931,9.202587546,7.172301213,8.735544084,3.402682514
22-04-2018,3.877196515,1.113604159,259.1174192,224.9974841,67.0018077,9.204605273,10.69280226,9.54608517,3.678822039
23-04-2018,3.951258044,1.233868761,259.7954147,228.7232889,67.02289908,9.231594697,10.1508544,9.439920121,3.551746547
24-04-2018,3.871142545,1.765274019,260.7499965,224.6924753,67.00006871,9.262358771,12.10456713,9.915197381,5.465239975
25-04-2018,3.774456839,2.427055177,261.7101818,219.8118733,66.97198149,9.292569321,8.767966231,9.170059954,6.187183789
26-04-2018,3.794451149,2.764359337,262.4318342,220.822632,66.97783904,9.319008086,6.023624739,8.552096015,5.559979625
27-04-2018,3.886458642,2.791015696,262.9649926,225.4639921,67.00446381,9.341652589,6.617036329,8.717443557,5.743346028
28-04-2018,3.885119329,2.81161613,263.4802571,225.3965445,67.00408007,9.359903405,6.74939643,8.761701473,5.977957479
29-04-2018,3.914988817,2.941799738,264.0389623,226.8999708,67.01261216,9.38094529,7.517224263,8.956013451,7.344318574
30-04-2018,4.00104651,2.915160879,264.5004212,231.2223053,67.03689199,9.400745078,9.231902204,9.362795866,8.083479394
01-05-2018,3.997540747,2.925265496,264.8925924,231.0464897,67.03591151,9.414545735,4.321018542,8.269059665,7.419573142
02-05-2018,4.038900734,2.872795261,265.3105726,233.1192946,67.04743327,9.431021822,4.944285924,8.428831713,7.017373254
03-05-2018,4.142384208,2.928741513,265.775183,238.2920899,67.0758327,9.45153904,6.221226275,8.741982133,4.859090063
04-05-2018,4.157202803,2.763163221,266.1016394,239.0312763,67.07985055,9.463715373,6.149437838,8.737439121,5.141294171
05-05-2018,4.039456867,2.667731079,266.4528134,233.1471448,67.04758752,9.471646962,3.380005768,8.111097285,5.878495498
06-05-2018,3.967511024,2.650027037,266.8353544,229.539568,67.02748314,9.482401074,4.337051432,8.319494288,6.278060687
07-05-2018,4.009310911,2.853253768,267.331466,231.6366805,67.03920051,9.501691882,2.733405308,7.982518257,6.736388904
08-05-2018,4.041012649,2.957661921,267.7563884,233.2250529,67.04801893,9.518046622,3.337601447,8.138014099,6.553975221
09-05-2018,4.086560368,2.876751926,268.0653283,235.5040019,67.0605877,9.530814921,4.957838915,8.517257918,6.395215742
10-05-2018,4.176577475,2.980884031,268.4644977,239.9971532,67.08508561,9.548493864,5.761722646,8.72123706,5.819513083
11-05-2018,4.179862772,2.795486442,268.6898126,240.160869,67.08597128,9.556633817,6.229645373,8.830200794,6.198329956
12-05-2018,4.083013765,3.097640057,269.1738784,235.3266829,67.05961326,9.570089333,4.26755461,8.394156653,6.891995361
13-05-2018,4.116000396,3.083436368,269.4709954,236.9750509,67.06864915,9.581943822,5.997023867,8.791150464,6.466724534
14-05-2018,4.115674612,2.89118778,269.6583166,236.9587806,67.06856021,9.588591937,8.452596705,9.337990908,6.692458699
15-05-2018,4.096380368,3.133198652,270.0722489,235.9948547,67.06328208,9.602554922,5.400745882,8.67274288,6.754803151
16-05-2018,4.132202308,3.051262604,270.2980362,237.7839701,67.07306503,9.611984842,4.39650899,8.464502873,6.997345666
17-05-2018,4.234192318,2.557649996,270.2766207,242.8655645,67.10053368,9.615159361,6.28789556,8.894883247,6.832899342
18-05-2018,4.178243777,2.479187636,270.4775731,240.0801921,67.08553489,9.620157473,7.49900862,9.156894834,6.643940655
19-05-2018,4.359583714,2.704079954,270.8474931,249.0887857,67.13355399,9.640209872,7.742861704,9.237405548,4.932325755
20-05-2018,4.369231613,2.321196765,270.844464,249.5665242,67.1360615,9.640462118,12.4068773,10.22689945,3.463988911
21-05-2018,4.327821238,1.97312565,270.8348749,247.5148995,67.12526585,9.638570667,11.20437109,9.972618195,3.770849531
22-05-2018,4.287766174,1.503602532,270.7018983,245.5276961,67.11474076,9.6323277,9.217831622,9.543348107,3.512203542
23-05-2018,4.389249562,1.807788738,271.1229048,250.5572694,67.14124941,9.651118687,10.00789818,9.726519166,4.618491758
24-05-2018,4.371609812,2.614187504,271.826736,249.6842626,67.13667888,9.675514171,5.938425382,8.883597675,5.859359017
25-05-2018,4.316206116,2.877138878,272.154415,246.9389296,67.12222224,9.685091786,4.68568332,8.61660113,6.557837899
26-05-2018,4.211950933,2.870889187,272.318421,241.7589326,67.0945912,9.686938977,4.420194502,8.542804168,7.090138409
27-05-2018,4.182164037,3.030600184,272.5650925,240.2755365,67.08659132,9.694557565,6.323494478,8.958770325,6.974871143
28-05-2018,4.213196062,3.280507776,272.8481143,241.8209071,67.09492457,9.705829504,3.824727064,8.428484401,7.045111941
