Date,Saturation_vapour,Actual_vapour,Solar-Irradiance,Slope,Radiation-Based_evaporation,Aerodynamics_evaporation,Evaporation
09-04-2023,3.618578989,1.919475461,36.98148249,211.9050648,7.330709643,4.917286114,6.748318679
10-04-2023,3.556644364,1.909183389,37.09518454,208.7499659,11.48983136,3.051310164,9.430239115
11-04-2023,3.57863585,2.22472367,37.20666446,209.8711613,6.81351415,4.241382196,6.188271723
12-04-2023,3.6616347,2.133416054,37.31591279,214.0938524,6.519314585,5.018165308,6.159884138
13-04-2023,3.744575987,2.137372574,37.4229221,218.2998862,5.049286108,6.833542502,5.470213405
14-04-2023,3.679290887,2.45874455,37.52768698,214.9903536,4.759543375,5.520877595,4.94125612
15-04-2023,3.723439036,2.660507201,37.63020397,217.2292958,5.552371814,4.132670542,5.216187636
16-04-2023,3.765919133,2.73906433,37.73047153,219.3800375,3.828386899,5.805675911,4.293095952
17-04-2023,3.895837262,2.561578819,37.82849003,225.9362037,4.448540191,6.508917781,4.921954137
18-04-2023,3.955037418,2.301397254,37.92426168,228.913145,5.656829293,6.359931114,5.816758285
19-04-2023,3.855540646,2.032050951,38.01779046,223.9061082,6.254090464,6.359066483,6.278378947
20-04-2023,3.842528087,2.311352889,38.10908214,223.2498976,6.591049617,5.07885872,6.240381451
21-04-2023,3.785281098,2.452572039,38.19814418,220.3591602,4.558471536,6.406571895,4.991340343
22-04-2023,3.826544724,2.328132412,38.28498567,222.4434328,4.892384454,6.726770059,5.318951268
23-04-2023,3.898140764,2.447241777,38.36961732,226.0521594,3.287680861,9.71409464,4.763697564
24-04-2023,3.925082378,1.9563026,38.45205139,227.4076364,2.666132975,16.28929116,5.780709221
25-04-2023,3.93538213,1.855860591,38.53230159,227.925478,3.8999992,11.7866719,5.699917526
26-04-2023,3.834590494,1.973078262,38.6103831,222.8494549,4.928025915,8.366895799,5.726579801
27-04-2023,3.835928597,2.442887277,38.68631242,222.9169691,4.583652475,6.744922888,5.085413107
28-04-2023,3.892467902,2.561296769,38.76010739,225.766576,3.579760521,8.268604648,4.657741846
29-04-2023,3.832188084,2.470785334,38.83178709,222.7282325,3.25328585,9.322215011,4.663165275
30-04-2023,3.817564257,2.416101785,38.90137176,221.9900965,3.231760438,9.677753746,4.73305559
01-05-2023,3.879415385,2.342343966,38.96888277,225.1092572,3.14979703,10.90929715,4.937741497
02-05-2023,3.912133257,2.612479124,39.03434253,226.7563133,2.969247443,9.801569153,4.534736479
03-05-2023,3.922319873,2.625667052,39.09777444,227.2687123,3.011977087,9.655870237,4.531644359
04-05-2023,4.047086948,2.500471375,39.15920283,233.5291908,2.607861956,13.3229059,5.007742008
05-05-2023,4.082975352,2.538276123,39.21865284,235.3247622,3.284343155,10.58169922,4.909059267
06-05-2023,4.039878668,2.640285444,39.27615044,233.1682676,3.467360654,9.094923865,4.729296132
07-05-2023,4.009826066,2.559238003,39.33172229,231.6625061,5.416904719,6.042312813,5.557853533
08-05-2023,4.075404461,2.679252373,39.3853957,234.9461661,5.049347718,6.247409915,5.316423677
09-05-2023,4.179726057,2.383586819,39.43719856,240.1540564,4.52340935,8.983539969,5.500840138
10-05-2023,4.25763921,2.036092636,39.48715928,244.0312611,3.863162688,13.02673728,5.846344869
11-05-2023,4.230405745,2.034880144,39.53530672,242.6772214,4.484984999,11.10273468,5.92345354
12-05-2023,4.120462504,2.344834889,39.5816701,237.1978784,3.625838235,11.12000339,5.284112199
13-05-2023,4.148320303,2.647145495,39.62627898,238.5882423,3.491473963,9.77401702,4.875329103
14-05-2023,4.108836324,3.003661617,39.66916314,236.6172201,3.155219496,7.971163866,4.222904578
15-05-2023,4.078783778,3.178138238,39.71035257,235.1151676,3.178429246,6.455240626,3.908498713
16-05-2023,4.118123685,3.175075846,39.74987737,237.0810875,3.307469903,6.501910015,4.014591864
17-05-2023,4.196065557,3.010536131,39.78776768,240.9680268,2.987487482,9.057808937,4.31427765
18-05-2023,4.260580256,3.101415229,39.82405365,244.1774135,2.98828051,8.862101305,4.258897392
19-05-2023,4.221439774,3.158294249,39.85876537,242.2311587,3.048174113,7.975246689,4.120691146
20-05-2023,4.114441992,3.008036793,39.89193278,236.8972195,2.707144849,9.353090375,4.179181725
21-05-2023,4.075142402,2.980122347,39.92358565,234.9330595,2.693275951,9.311895594,4.168784335
22-05-2023,4.124328128,3.072163817,39.95375351,237.3908905,2.801687034,8.607734644,4.085608638
23-05-2023,4.130623189,3.210716159,39.98246557,237.7051491,2.83125237,7.452504817,3.852121457
24-05-2023,4.203074932,3.177871448,40.00975069,241.3170653,3.651626497,6.444020411,4.261269989
25-05-2023,4.077327206,3.245663949,40.03563735,235.0423261,6.072105,3.145736397,5.419956716
26-05-2023,4.038573745,3.329546037,40.06015353,233.1029193,4.692945936,3.472143005,4.419131233
27-05-2023,4.102523654,3.313891991,40.08332673,236.3018401,3.472702576,5.222010223,3.860923258
28-05-2023,4.264545419,3.188735175,40.10518386,244.374435,3.756310079,6.589342627,4.368760531
29-05-2023,4.355501103,3.103793905,40.12575125,248.8865791,5.212688782,5.527534575,5.279781754
30-05-2023,4.37948493,2.848050534,40.14505456,250.0740726,6.312591783,5.5871468,6.158579231
31-05-2023,4.251190396,2.984030621,40.16311877,243.7107423,5.167944523,5.649477758,5.272265382
01-06-2023,4.133950222,3.077284139,40.17996812,237.8712113,2.166133202,11.24422519,4.170460428
02-06-2023,4.323246159,3.292834046,40.19562605,247.2880577,2.368635181,10.03133918,4.009835847
03-06-2023,4.350763457,3.216091201,40.21011521,248.6518948,2.581149338,10.14051378,4.193230048
04-06-2023,4.297065622,3.137624236,40.22345738,245.9892987,2.852644787,9.378812152,4.256214348
05-06-2023,4.333528327,3.287456685,40.23567346,247.7978195,2.7286354,8.849006882,4.037378711
06-06-2023,4.259319591,3.314488386,40.24678343,244.1147678,2.531260109,8.618188093,3.848240839
07-06-2023,4.391432161,3.300137487,40.25680631,250.6652525,2.792361964,9.025618623,4.113227716
08-06-2023,4.297828833,3.175692524,40.26576014,246.0271762,2.659255637,9.747399527,4.183504121
09-06-2023,4.372824346,3.075146967,40.27366195,249.7443875,2.712001696,11.05516519,4.485103291
10-06-2023,4.504512405,3.034472852,40.28052775,256.2492194,3.203014082,10.60553697,4.744590618
11-06-2023,4.676222423,2.742703665,40.28637248,264.6893758,2.865366093,15.59530148,5.449000823
12-06-2023,4.451352548,2.829041416,40.29120999,253.6267396,2.046981492,18.31883624,5.463279498
13-06-2023,4.302328494,3.161955232,40.29505306,246.2504707,1.962856136,13.4300499,4.427028621
14-06-2023,4.220795511,3.074812647,40.29791332,242.1991008,1.856225371,14.27241009,4.559239842
15-06-2023,4.059950638,3.285391081,40.29980127,234.1730525,1.217263513,14.71094105,4.233029871
16-06-2023,4.042553087,3.382844295,40.30072629,233.3021884,1.37596643,11.0847179,3.552105727
17-06-2023,4.193053664,3.582049648,40.30069658,240.8180208,1.936341634,7.295280126,3.108214886
18-06-2023,4.261700014,3.440207608,40.29971916,244.2330548,2.375351614,7.995488545,3.590874881
19-06-2023,4.2526629,3.366346542,40.29779988,243.7839349,2.706205518,7.57140825,3.759970277
20-06-2023,4.213916641,3.29759725,40.2949434,241.8567716,2.833295987,7.476060698,3.845148823
21-06-2023,4.090188207,3.346931804,40.2911532,235.6853595,2.872086335,5.981611532,3.563581294
22-06-2023,4.110874269,3.358931977,40.28643155,236.7190206,3.017937885,5.758380439,3.62528506
23-06-2023,4.227022588,3.364031007,40.28077954,242.5089234,3.203744799,6.224634422,3.860737693
24-06-2023,4.233270898,3.386786654,40.27419705,242.8197356,3.380154095,5.785975742,3.902855781
25-06-2023,4.201089027,3.392183241,40.26668277,241.2181838,3.455425409,5.407662898,3.881780088
26-06-2023,4.181203076,3.443075398,40.25823422,240.2276548,3.491710928,4.882196661,3.796360842
27-06-2023,4.314332022,3.451485109,40.2488477,246.845976,4.593186423,4.337509778,4.538348471
28-06-2023,4.312511836,3.500589127,40.23851838,246.7556906,3.872614648,4.839714291,4.080099401
29-06-2023,4.14242473,3.554947074,40.22724023,238.2941117,2.83106855,4.788820358,3.262717269
30-06-2023,4.156131231,3.481449094,40.2150061,238.9778366,2.64418682,5.886573256,3.357478774
01-07-2023,4.27588114,3.452288195,40.20180767,244.9375387,3.051078382,6.225470405,3.736087373
02-07-2023,4.420919047,3.416292465,40.18763552,252.1233364,4.286850121,5.402890409,4.522266777
03-07-2023,4.537995998,3.396427938,40.17247911,257.898704,4.369428682,6.021062373,4.711637579
04-07-2023,4.446598298,3.304557375,40.15632683,253.3919808,3.286421772,8.005338227,4.277889727
05-07-2023,4.314582686,3.279036982,40.13916598,246.8584091,3.294606467,7.237713827,4.140297237
06-07-2023,4.461864479,3.271788826,40.12098285,254.1456755,4.667375275,5.868684343,4.919184699
07-07-2023,4.260759355,3.321873534,40.10176268,244.1863131,11.10176325,1.945591319,9.12116923
08-07-2023,4.151472204,3.500389301,40.08148973,238.745466,7.076629388,2.115538984,5.9844117
09-07-2023,4.183874182,3.553066034,40.06014731,240.3607437,3.609790261,4.016013889,3.69875376
10-07-2023,4.365896947,3.539714837,40.03771777,249.4014178,3.321683535,5.712867946,3.83041178
11-07-2023,4.369441331,3.445920776,40.01418259,249.5769071,3.149057759,6.732048364,3.910922618
12-07-2023,4.279073082,3.379780153,39.98952235,245.0960597,3.102278959,6.650187445,3.86750151
13-07-2023,4.266421934,3.33563452,39.96371682,244.4676662,3.278299156,6.509312649,3.976577089
14-07-2023,4.249842857,3.350530984,39.93674498,243.6437579,3.024538928,6.812259006,3.845299116
15-07-2023,4.149479193,3.313265262,39.90858503,238.6460523,2.509148632,7.630002478,3.636905538
16-07-2023,4.134643986,3.310448607,39.87921446,237.9058366,2.756559406,6.840325242,3.658100694
17-07-2023,4.216582934,3.419703652,39.8486101,241.9894702,3.273211154,5.565433909,3.772568206
18-07-2023,4.1748835,3.458808685,39.81674815,239.9127302,2.98440085,5.480679054,3.531885983
19-07-2023,4.17978987,3.387017624,39.78360421,240.1572363,3.125882923,5.788248847,3.709330302
20-07-2023,4.24406094,3.379285007,39.74915336,243.3563118,4.996163376,3.946955085,4.768600375
21-07-2023,4.233116863,3.512793798,39.71337017,242.8120742,4.574189393,3.587709424,4.359856182
22-07-2023,4.176112834,3.527087291,39.67622879,239.9739973,6.032064766,2.44902669,5.246387485
23-07-2023,4.16411131,3.540002457,39.63770297,239.3757579,8.423872915,1.684706897,6.943248134
24-07-2023,4.142520363,3.485620682,39.59776615,238.2988834,4.36712728,3.416970478,4.157638231
25-07-2023,4.142712446,3.437423797,39.55639145,238.3084673,4.180835774,3.828139805,4.103076369
26-07-2023,4.170494403,3.488291827,39.51355181,239.6939668,4.15946871,3.717824637,4.062538084
27-07-2023,3.984945923,3.460134937,39.46921996,230.4146691,2.906431464,4.088544348,3.173961632
28-07-2023,3.959840534,3.278271981,39.42336855,229.1543907,2.337282075,6.595071133,3.30497971
29-07-2023,3.918387165,3.279695809,39.37597017,227.0709152,2.310533158,6.244209109,3.210892906
30-07-2023,3.909968556,3.350211764,39.3269974,226.6474014,2.556434793,4.939952587,3.102772215
31-07-2023,3.885228336,3.385939413,40.16311877,225.4020342,2.372818154,4.84821915,2.942629862
01-08-2023,3.837164204,3.31096922,39.22421953,222.9793088,2.131300724,5.555505999,2.926093701
02-08-2023,3.789123182,3.259685618,39.17036021,220.5533661,2.011919874,5.913287221,2.925096069
03-08-2023,3.814831024,3.243695755,39.1148182,221.8520916,2.447002955,5.237368606,3.097199273
04-08-2023,3.844906354,3.288797412,39.05756708,223.3698551,2.672869015,4.661811704,3.133902835
05-08-2023,3.834070252,3.238491745,38.99858079,222.8232051,2.533054763,5.260300789,3.166416875
06-08-2023,3.754838031,3.162301522,38.93783372,218.8193465,1.900603546,6.964063194,3.092965923
07-08-2023,3.712201226,3.121297041,38.87530079,216.6597425,1.687738504,7.808237386,3.139973942
